commit,committed_at,elapsed_hours,tests,renderer,main,core,preview_runtime,tooling,protocol,preload,legacy
5535c97c9b310a58931ffb4be90f00a963af9b37,2026-09-11T01:00:09+09:00,0.0000,0,0,0,0,0,0,0,0,0
1317e8d1fe29586e5a64a06f98a500edeb57acc6,2026-09-11T01:02:40+09:00,0.0419,0,0,0,0,0,0,0,0,0
fea542ee92400a73f89f5f9357ad9ed9cb83a513,2026-09-11T01:11:58+09:00,0.1969,0,0,0,0,0,0,0,0,0
8a940ee01013e69eebe422ee3146adb25685f13e,2026-09-11T01:53:20+09:00,0.8864,111,410,567,20,0,49,44,35,0
075293af35cdc4d0f4fbb20bcf1daafab92c95ec,2026-09-11T02:34:34+09:00,1.5736,668,516,790,307,346,61,44,35,0
d5ec731ba649d91b4c20f9d68da86ed78c23b265,2026-09-11T15:49:05+09:00,14.8156,369,516,800,307,346,61,44,35,0
876ee792a88d4ae125ebecd16a5afec2a0a7617e,2026-09-11T15:52:44+09:00,14.8764,369,516,800,307,346,61,44,35,0
1cf4b97ccda596e916fe7ea39260efac66e755cb,2026-09-11T15:59:22+09:00,14.9869,468,641,814,370,346,61,44,35,0
5b556730645c56d87418152f524650d15e96ab74,2026-09-11T16:10:44+09:00,15.1764,468,704,822,370,423,61,44,35,0
1077711060ff468fab482a1e5a320ccf0b77d019,2026-09-11T16:26:56+09:00,15.4464,479,764,938,370,423,61,57,38,0
0605e1f8865409cb406fd18d289c70033279d6b3,2026-09-11T16:31:43+09:00,15.5261,479,764,941,370,423,61,57,38,0
9e0b4f7747aabe8ffc01cf88fa9cbb07313b6c51,2026-09-11T16:38:33+09:00,15.6400,479,771,943,370,423,61,57,38,0
a4af859e41b187b02b0e7d2aa94b1f27a872b0f5,2026-09-11T16:45:32+09:00,15.7564,479,771,943,370,423,97,57,38,0
b277e0ba8c4e13c8308048ee4e0f375e2a4c39b5,2026-09-11T17:01:16+09:00,16.0186,541,816,1040,370,423,97,64,39,0
8c21441d4ae0759b04f4371ef8308d14eb2f7b9e,2026-09-11T17:06:22+09:00,16.1036,559,856,1122,370,423,106,64,39,0
d2458ef85f818b184988a6a3238764acd782088c,2026-09-11T17:21:24+09:00,16.3542,559,1137,1136,370,423,106,74,44,0
4685e10e45aef84c268f852bee69654b972bca8f,2026-09-11T17:33:46+09:00,16.5603,559,1176,1136,370,423,106,74,44,0
6b847ada2e299dce9ef162d481818cc251eacbce,2026-09-11T17:40:04+09:00,16.6653,559,1131,1136,370,423,106,74,44,0
63369d55edd015bee7442f01110c03da76e8d998,2026-09-11T17:50:24+09:00,16.8375,559,1168,1213,370,423,106,80,55,0
02c54d96d13b8eadaeab4bba3706078b479ce9a2,2026-09-11T18:04:17+09:00,17.0689,639,1167,1359,370,423,106,83,56,0
e0bad43c48bf21f6df5925ad0d484fe92691d78e,2026-09-11T18:12:44+09:00,17.2097,639,1167,1359,370,423,106,83,56,0
a817cdfc832e057f4424177e51565f1e6b22a093,2026-09-11T18:47:31+09:00,17.7894,639,1436,1557,370,423,106,116,73,0
62aa1015a3b47bd87891fa2e44468734a65e74d6,2026-09-11T18:51:29+09:00,17.8556,639,1436,1557,370,423,106,116,73,0
d797a9869e4dd9bef3533f12ed199428e9a75c94,2026-09-11T19:01:02+09:00,18.0147,639,1440,1582,370,423,106,116,73,0
