source	exit	html_bytes	stderr
book.tex	64	0	1
gr/gr1.tex	0	216959	0
gr/gr2.tex	0	87908	0
gr/gr3.tex	0	104659	0
vs/vs1.tex	0	169046	0
vs/vs2.tex	0	100021	0
vs/vs3.tex	0	253047	0
map/map1.tex	0	127494	0
map/map2.tex	0	141003	0
map/map3.tex	0	145547	0
map/map4.tex	0	223898	0
map/map5.tex	0	102938	0
map/map6.tex	0	168563	0
det/det1.tex	0	129790	0
det/det2.tex	0	49044	0
det/det3.tex	0	52641	0
jc/jc1.tex	0	18606	0
jc/jc2.tex	0	179623	0
jc/jc3.tex	0	92207	0
jc/jc4.tex	0	183270	0
lab/lab.tex	0	264280	0
slides/slides.tex	0	7731	0
jhanswer.tex	0	5074	1
